,name,dim,permute,variant,n_mixing_layer,use_sem,nonlin_sem,force_chain,force_uniform,mcc,val_loss
0,avid-disco-1026,10,True,1875424,1,True,False,False,False,0.9983341568922408,0.03388404846191406
1,logical-sun-1027,10,True,1257846,1,True,False,False,False,0.9977168806977076,0.03010082244873047
2,faithful-sky-1028,10,True,657894,1,True,False,False,False,0.5665253662225751,1.9482862949371336
3,polar-capybara-1029,10,True,657894,1,True,False,False,False,0.998623243279074,0.027126312255859375
4,young-voice-1030,10,True,0,1,True,False,False,False,0.998879020993942,0.02951145172119141
5,fluent-bird-1031,10,True,3628600,1,True,True,False,False,0.9976653016722092,0.03337574005126953
6,celestial-donkey-1032,10,True,2645120,1,True,True,False,False,0.9983975127515916,0.031569480895996094
7,gentle-waterfall-1033,10,True,2645120,1,True,True,False,False,0.5016068996848807,3.0604326725006104
8,stilted-shadow-1034,10,True,2645120,1,True,True,False,False,0.99789983149808,0.03174877166748047
9,stilted-firefly-1035,10,True,1875424,1,True,True,False,False,0.998128787009014,0.03840923309326172
10,stoic-night-1036,10,True,1875424,1,True,True,False,False,0.578531677579783,2.0678510665893555
11,kind-thunder-1037,10,True,1875424,1,True,True,False,False,0.93353840620663,0.07629680633544922
12,zesty-night-1038,10,True,1875424,1,True,True,False,False,0.9977001427522548,0.042072296142578125
13,unique-resonance-1039,10,True,1257846,1,True,True,False,False,0.43464553624681407,4.450830459594727
14,dandy-lake-1040,10,True,1257846,1,True,True,False,False,0.8957182521453648,0.08549785614013672
15,exalted-sponge-1041,10,True,1257846,1,True,True,False,False,0.9971554320886372,0.03620433807373047
16,cosmic-microwave-1042,10,True,657894,1,True,True,False,False,0.9214585223938072,0.0818634033203125
17,snowy-hill-1043,10,True,657894,1,True,True,False,False,0.5111606211568637,3.0626487731933594
18,legendary-lion-1044,10,True,0,1,True,True,False,False,0.9452960430570314,0.08781814575195312
19,pious-pyramid-1045,10,True,0,1,True,True,False,False,0.9983308118998522,0.03724956512451172
20,easy-hill-1046,10,True,0,1,True,True,False,False,0.895622732550257,0.07729721069335938
21,pretty-moon-1047,10,True,0,1,True,True,False,False,0.9098679857577728,0.08410358428955078
22,daily-thunder-1048,10,True,3628600,1,True,False,False,False,0.9189409737955572,0.08632373809814453
23,wandering-frost-1049,10,True,3628600,1,True,False,False,False,0.9983997540017708,0.028326988220214844
24,sunny-mountain-1050,10,True,3628600,1,True,False,False,False,0.5223164111735606,3.0562312602996826
25,wild-dream-1051,10,True,3628600,1,True,False,False,False,0.9984776063394925,0.037484169006347656
26,balmy-feather-1052,10,True,3628600,1,True,False,False,False,0.9983932736811468,0.033855438232421875
27,dutiful-darkness-1053,10,True,2645120,1,True,False,False,False,0.9966642480196592,0.037670135498046875
28,morning-sun-1054,10,True,2645120,1,True,False,False,False,0.9986003568372032,0.02772045135498047
29,feasible-morning-1055,10,True,1875424,1,True,False,False,False,0.9987155621834108,0.035594940185546875
30,polished-pond-1056,10,True,1875424,1,True,False,False,False,0.5018518962215212,3.156581163406372
31,olive-monkey-1057,10,True,1875424,1,True,False,False,False,0.998320658033261,0.02749156951904297
32,autumn-bird-1058,10,True,1257846,1,True,False,False,False,0.9985764614778552,0.02850818634033203
33,lilac-meadow-1059,10,True,1257846,1,True,False,False,False,0.5059723457792604,3.066004514694214
34,dazzling-feather-1060,10,True,1257846,1,True,False,False,False,0.9988128967104164,0.02695751190185547
35,winter-hill-1061,10,True,1257846,1,True,False,False,False,0.997694246591539,0.035035133361816406
36,dashing-thunder-1062,10,True,657894,1,True,False,False,False,0.9982684824643238,0.029120445251464844
37,hopeful-water-1063,10,True,657894,1,True,False,False,False,0.9984400863462308,0.028257369995117188
38,volcanic-field-1064,10,True,657894,1,True,False,False,False,0.9983215020813604,0.03453254699707031
39,vital-wave-1065,10,True,0,1,True,False,False,False,0.9983303065696216,0.02803516387939453
40,solar-microwave-1066,10,True,0,1,True,False,False,False,0.9983405833411052,0.03751087188720703
41,blooming-salad-1067,10,True,0,1,True,False,False,False,0.9985522463979432,0.030382156372070312
42,golden-microwave-1068,10,True,0,1,True,False,False,False,0.5620545488919371,1.8969221115112305
